"https://www.youtube.com/watch?v=qRFEJ1ch1qU", LessonFirst
"https://www.youtube.com/watch?v=thyhecCNB1w", PHP создание сайта с нуля: Работа с библиотеками, урок 16!
"https://www.youtube.com/watch?v=uLIa7NRFIcU", PHP создание сайта с нуля: поддержка множества сайтов, урок 15!
"https://www.youtube.com/watch?v=8XMvxJN7-JY", PHP создание сайта с нуля: Работа с ошибками, урок 14!
"https://www.youtube.com/watch?v=NOykpm5_HUA", PHP создание сайта с нуля: Входные данные, урок 13!
"https://www.youtube.com/watch?v=uaSugTD008s", PHP создание сайта с нуля: SQL инъекция, урок 12!
"https://www.youtube.com/watch?v=WGQJg2m2QAQ", PHP создание сайта с нуля: Реализация для различных СУБД, урок 11!
"https://www.youtube.com/watch?v=WKbAAaATms4", PHP создание сайта с нуля: ActiveRecord (Продолжение), урок 10!
"https://www.youtube.com/watch?v=ln1jPBxb00Y", PHP создание сайта с нуля: Дополнение ActiveRecord, урок 9!
"https://www.youtube.com/watch?v=5GkIJaxoAaA", PHP создание сайта с нуля: Создание ActiveRecord, урок 8!
"https://www.youtube.com/watch?v=2_CRJaYRS84", Java для начинающих: Итераторы коллекций, Урок 71!
"https://www.youtube.com/watch?v=XmX1dd7UYxU", Java для начинающих: Множества Set(HashSet, LinkedHashSet, TreeSet), Урок 70!
"https://www.youtube.com/watch?v=SiVafzPSoUY", PHP создание сайта с нуля: Подключение к БД с использованием PDO , урок 7!
"https://www.youtube.com/watch?v=na97YfiQqDc", PHP создание сайта с нуля: Подключение из контроллера, урок 6!
"https://www.youtube.com/watch?v=5HlLtL3ef8w", PHP создание сайта с нуля: Отображение (view), урок 5!
"https://www.youtube.com/watch?v=7v9BKQBthyY", PHP создание сайта с нуля: Загрузка контроллера по роутингу, урок 4!
"https://www.youtube.com/watch?v=jSm3EVkyCIU", PHP создание сайта с нуля: Реализация роутинга, урок 3!
"https://www.youtube.com/watch?v=EBreiUjQAkM", PHP создание сайта с нуля: Создание загрузчика подключений, урок 2!
"https://www.youtube.com/watch?v=apcNN-dSuPk", PHP создание сайта с нуля: Конфиги и структура каталогов, урок 1!
"https://www.youtube.com/watch?v=K589ycHCqgw", SQL для начинающих: Оператор IF (MySql), Урок 27!
"https://www.youtube.com/watch?v=eIpWa114e4o", SQL для начинающих (DML): Ключевое слово EXISTS / NOT EXISTS (MySql), Урок 26!
"https://www.youtube.com/watch?v=VU8Fs4Jl60Q", SQL для начинающих: Добавление и удаление индексов, Урок 25!
"https://www.youtube.com/watch?v=E9VZuC5MH0Y", SQL для начинающих: Добавление и удаление индексов, Урок 24!
"https://www.youtube.com/watch?v=2B2lDGg3a9w", SQL для начинающих: Общие запросы, Урок 23!
"https://www.youtube.com/watch?v=rRF7wx-wUrc", SQL для начинающих (DML): Объеденение таблиц в запросе, Урок 22!
"https://www.youtube.com/watch?v=a1bA2DCydZg", SQL для начинающих (DML): Запрос Update, Урок 21!
"https://www.youtube.com/watch?v=qLSAYXjcXTs", SQL для начинающих (DML): Запрос TRUNCATE, Урок 20!
"https://www.youtube.com/watch?v=hKEgC_yHA6Y", SQL для начинающих (DML): Запрос DELETE, Урок 19!
"https://www.youtube.com/watch?v=SgRTg1PPZlo", SQL для начинающих (DML): SELECT DISTINCT / ALL, Урок 18!
"https://www.youtube.com/watch?v=x6Qm8i6wf10", SQL для начинающих (DML): Объединение запросов UNION, Урок 17!
"https://www.youtube.com/watch?v=jiC4t5fshes", SQL для начинающих (DML): Объединение таблиц CROSS JOIN / FULL JOIN, Урок 16!
"https://www.youtube.com/watch?v=5wbo31BDhkE", SQL для начинающих (DML): Объединение таблиц RIGHT JOIN / RIGHT OUTER JOIN (MySql), Урок 15!
"https://www.youtube.com/watch?v=DPP_FTQCQsg", SQL для начинающих (DML): Объединение таблиц LEFT JOIN / LEFT OUTER JOIN (MySql), Урок 14!
"https://www.youtube.com/watch?v=KBaSc2M7lyA", SQL для начинающих (DML): Объединение таблиц INNER JOIN / JOIN (MySql), Урок 13!
"https://www.youtube.com/watch?v=XeXkBXr-Zw8", SQL для начинающих (DML): Внутрение запросы (продолжение) (MySql), Урок 12!
"https://www.youtube.com/watch?v=6NBVYfmhQhw", SQL для начинающих (DML): Внутренние запросы (MySql), Урок 11!
"https://www.youtube.com/watch?v=09gpANJEXFQ", SQL для начинающих (DML): Фильтр группировки HAVING (MySql), Урок 10!
"https://www.youtube.com/watch?v=ZgS6dPamOKQ", SQL для начинающих (DML): группировка GROYP BY (MySql), Урок 9!
"https://www.youtube.com/watch?v=F09tIkngk-E", SQL для начинающих (DML): Агрегатные функции (MySql), Урок 8!
"https://www.youtube.com/watch?v=meF5RksYei4", SQL для начинающих (DML): конструкции LIMIT, ORDER BY (MySql), Урок 7!
"https://www.youtube.com/watch?v=KqvcnNYeACg", SQL для начинающих (DML): конструкция lIKE / NOT LIKE (MySql), Урок 6!
"https://www.youtube.com/watch?v=2VmbKDUWfeY", SQL для начинающих (DML): Конструкции IN / NOT IN (MySql), Урок 5!
"https://www.youtube.com/watch?v=t-jId7EKxrs", SQL для начинающих (DML): Выборка из таблицы (MySql), Урок 4!
"https://www.youtube.com/watch?v=PhvHEmSbyPY", SQL для начинающих (DML): Вставка данных в таблицу (MySql), Урок 3!
"https://www.youtube.com/watch?v=fn0LjWYJuOs", SQL для начинающих (DDL): Изменение структуры таблиц (MySql), Урок 2!
"https://www.youtube.com/watch?v=1SXV0Qy-MOI", SQL для начинающих (DDL): Базы данных и таблицы (MySql), Урок 1!
"https://www.youtube.com/watch?v=WPXCaTBJZHU", Javascript для начинающих: Оператор условия if, Урок 10!
"https://www.youtube.com/watch?v=Duk_Zz0UnpU", Javascript для начинающих: Составные логические операции, Урок 9!
"https://www.youtube.com/watch?v=-pNcI1UYXUU", Javascript для начинающих: Логические операции, Урок 8!
"https://www.youtube.com/watch?v=F1ZafjcC1aY", Javascript для начинающих: Операции с присваиванием, Урок 7!
"https://www.youtube.com/watch?v=_0PkAsNGjDQ", Javascript для начинающих: Поразрядные логические операции сдвига, Урок 6!
"https://www.youtube.com/watch?v=nTRhDzi-lCs", Javascript для начинающих: Поразрядные логические операции (И ИЛИ НЕ), Урок 5!
"https://www.youtube.com/watch?v=RTJ2yfozqeg", Javascript для начинающих: Операция инкремента и декремента, Урок 4!
"https://www.youtube.com/watch?v=3GM3hQEkWVs", Javascript для начинающих: Комментарии, Урок 3!
"https://www.youtube.com/watch?v=Xfj7KfcVhdA", Javascript для начинающих: Переменные, Урок 2!
"https://www.youtube.com/watch?v=0PvwVUI8UAs", Javascript для начинающих: Введение, Урок 1!
"https://www.youtube.com/watch?v=_lWnOKjvS3c", Java для начинающих: Карта Map(HashMap, LinkedHashMap, TreeMap), Урок 69!
"https://www.youtube.com/watch?v=Cgtkl74PoJ0", CSS для начинающих: Псевдоклассы (after, before), урок 18!
"https://www.youtube.com/watch?v=dqO9GYUyvDE", CSS для начинающих: Формы, урок 17!
"https://www.youtube.com/watch?v=VcU19xRPd3U", CSS для начинающих: Селекторы атрибутов, урок 16!
"https://www.youtube.com/watch?v=92touBV40tY", Java для начинающих: Список List(ArrayList, LinkedList), Урок 68!
"https://www.youtube.com/watch?v=-VTbY6Gw6FM", Java для начинающих: Коллекции введение, Урок 67!
"https://www.youtube.com/watch?v=XOuCRUnguLM", Java для начинающих: Аннотации для аннотаций, Урок 66!
"https://www.youtube.com/watch?v=kWSwI5Iyzlk", Java для начинающих: Аннотация, Урок 65!
"https://www.youtube.com/watch?v=WRyL0vnTE3I", Java для начинающих: Конструкторы Enum, Урок 64!
"https://www.youtube.com/watch?v=TNBO-1lisF4", JavaServer pages: Минимальная архитектура проекта, урок 15!
"https://www.youtube.com/watch?v=t3U3G0e8Wco", JavaServer pages: Upload file, урок 14!
"https://www.youtube.com/watch?v=4vnLIkEDh2M", JavaServer pages: Download file, урок 13!
"https://www.youtube.com/watch?v=FKUjy_oJwac", JavaServer pages: Авторизация, урок 12!
"https://www.youtube.com/watch?v=nG7th0mz7f0", JavaServer pages: Фильтры (Filter), урок 11!
"https://www.youtube.com/watch?v=G0YMAOH-c7I", JavaServer pages: Session, урок 10!
"https://www.youtube.com/watch?v=ftQ6J_zea68", JavaServer pages: Cookie, урок 9!
"https://www.youtube.com/watch?v=p06jp_oIUNg", JavaServer pages: Передача данных методами GET и POST, урок 8!
"https://www.youtube.com/watch?v=Mde5qZ3jqBM", JavaServer pages: Передача данных из сервлета на jsp, урок 7!
"https://www.youtube.com/watch?v=YyJ3kj7JeeA", JavaServer pages: Неявные объекты, урок 6!
"https://www.youtube.com/watch?v=ILpRt4ttGEw", JavaServer pages: Директивы, урок 5!
"https://www.youtube.com/watch?v=fLaVAyG-kHI", JavaServer pages: Скриплеты, урок 4!
"https://www.youtube.com/watch?v=HFGvRwvb63A", JavaServer pages: Инициализация сервлетов, урок 3!
"https://www.youtube.com/watch?v=LrEDPewMSjw", JavaServer pages: Сервлеты, урок 2!
"https://www.youtube.com/watch?v=6yy5YOPgAqQ", JavaServer pages: Введение в jsp, урок 1!
"https://www.youtube.com/watch?v=sDG83U3w7A8", Математика: Многочлены и одночлены, урок 1!
"https://www.youtube.com/watch?v=15AISUdqM4M", Мы вконтакте
"https://www.youtube.com/watch?v=yXCJWH-Ioks", Java для начинающих: Собственные методы в enum, Урок 63!
"https://www.youtube.com/watch?v=ha2jsA5XGD8", Java для начинающих: Методы enum, Урок 62!
"https://www.youtube.com/watch?v=dqZsKd0BGdQ", Java для начинающих: Перечисления (enum), Урок 61!
"https://www.youtube.com/watch?v=O2W2PwZWvUs", Java для начинающих: Generics, Урок 60!
"https://www.youtube.com/watch?v=aONBCe4_QCk", Java для начинающих: Композиция и агрегация, Урок 59!
"https://www.youtube.com/watch?v=xAPvq4m4P7w", Java для начинающих: Освобождение ресурсов (try-with-resources), Урок 58!
"https://www.youtube.com/watch?v=i9i-t_X8qbc", Java для начинающих: Работа с исключительными ситуациями, Урок 57!
"https://www.youtube.com/watch?v=uriBYga5p2w", Java для начинающих: Создание собственных классов исключений, Урок 56!
"https://www.youtube.com/watch?v=J8Hfty9po7A", Java для начинающих: Ключевое слово throw / throws, Урок 55!
"https://www.youtube.com/watch?v=CJjqj0R4PW4", Java для начинающих: Вложенные try/catch/finally блоки, Урок 54!
"https://www.youtube.com/watch?v=0e_jBKepHWI", Java для начинающих: Блок finally, исключительные ситуации, Урок 53!
"https://www.youtube.com/watch?v=AagmqPcKiWs", Java для начинающих: Обработка исключительных ситуаций, Урок 52!
"https://www.youtube.com/watch?v=m6pWKJHtT9w", Java для начинающих: Введение в исключительные ситуации, Урок 51!
"https://www.youtube.com/watch?v=QveTZyCevEU", Java для начинающих: Статический внутренний класс внутри интерфейса, Урок 50!
"https://www.youtube.com/watch?v=8u74pljHYaY", Java для начинающих: Статический внутренний класс, Урок 49!
"https://www.youtube.com/watch?v=j4r_KuliT_0", Java для начинающих: Безымянный-локальный внутренний класс, Урок 48!
"https://www.youtube.com/watch?v=AO5oqhT0VPQ", Java для начинающих: Локальный внутренний класс, Урок 47!
"https://www.youtube.com/watch?v=lVYmFSHgayQ", Java для начинающих: Внутренний класс, Урок 46!
"https://www.youtube.com/watch?v=S4ahcgKxEe8", Java для начинающих: Полиморфизм, Урок 45!
"https://www.youtube.com/watch?v=iidw3GzmqG8", Java для начинающих: Ключевое слово super, Урок 44!
"https://www.youtube.com/watch?v=0DN3J3L1cuU", Java для начинающих: Абстрактные классы, Урок 43!
"https://www.youtube.com/watch?v=XmDoE8ivJCg", Java для начинающих: Интерфейсы, Урок 42!
"https://www.youtube.com/watch?v=wzorJazChlg", Java для начинающих: Инкапсуляция, Урок 41!
"https://www.youtube.com/watch?v=PMI_wgoiA0Q", Java web приложение: урок 13!
"https://www.youtube.com/watch?v=zrOCQfteBd4", Java web приложение: урок 12!
"https://www.youtube.com/watch?v=5CxweqF6v14", Java web приложение: урок 11!
"https://www.youtube.com/watch?v=8IpdvRk2t8s", java dao pattern (data access object)
"https://www.youtube.com/watch?v=CbwbD4Yzf-0", Java web приложение: урок 10!
"https://www.youtube.com/watch?v=zG99tRary2w", Java web приложение: урок 9!
"https://www.youtube.com/watch?v=k0_u-yq1v-M", Java web приложение: урок 8!
"https://www.youtube.com/watch?v=Z95cAfmnq2c", Java для начинающих: Порядок инициализации при создании объекта, Урок 40!
"https://www.youtube.com/watch?v=X7eJ4iaTbvc", Java для начинающих: Блоки инициализации, Урок 39!
"https://www.youtube.com/watch?v=PEkAZgxpFn8", Java для начинающих: Массив объектов, Урок 38!
"https://www.youtube.com/watch?v=aqyotKm8Z9E", Java для начинающих: Класс Object, Урок 37!
"https://www.youtube.com/watch?v=Vov7fHNNvjE", Java для начинающих: Модификатор final, Урок 36!
"https://www.youtube.com/watch?v=_WoOAZTQ0UE", Java для начинающих: Виртуальные методы, таблица виртуальных методов, Урок 35!
"https://www.youtube.com/watch?v=fBFBkrmSzlw", Java для начинающих: Рекурсивные методы, Урок 34!
"https://www.youtube.com/watch?v=GgbKXOiJMxw", Java для начинающих: Статические поля и методы, Урок 33!
"https://www.youtube.com/watch?v=IhUrmChJ5Qk", Java для начинающих: Класс String, Урок 32!
"https://www.youtube.com/watch?v=eXJJIrq1rxk", Java для начинающих: Преобразование типов, Урок 31!
"https://www.youtube.com/watch?v=F9kH4fhxcoc", Java для начинающих: Простое наследование, Урок 30!
"https://www.youtube.com/watch?v=179BlvYPARw", Java для начинающих: Несколько примеров, Урок 29!
"https://www.youtube.com/watch?v=Q7BcPoXTfBU", Java для начинающих: Конструкторы, Урок 28!
"https://www.youtube.com/watch?v=_WuYtBYbuW4", Java для начинающих: Ключевое слово this, Урок 27!
"https://www.youtube.com/watch?v=XU0jCDxjoxY", CSS для начинающих: Фон (background), урок 15!
"https://www.youtube.com/watch?v=PSSbgm7NpKQ", CSS для начинающих: Разбор шаблона, урок 14!
"https://www.youtube.com/watch?v=jBIyb19Awfk", CSS для начинающих: Шрифты, урок 13!
